Task,Ground_Size,Seed,Algorithm,Strategy,Local_Search,Heuristic,Sorting,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,Solution_Set_Size
caltech,767,0,EfficientBFS,density_gap,False,ub2,d,8.0,0.95,CalTechMaximization,419.77594400428524,7.62639316652206,106.69965028762817,1,1,6
caltech,767,0,EfficientBFS,injection,False,ub2,d,8.0,0.95,CalTechMaximization,419.77594400428524,7.62639316652206,108.5784523487091,1,1,6
caltech,767,0,EfficientBFS,probing,False,ub2,d,8.0,0.95,CalTechMaximization,419.77594400428524,7.62639316652206,106.19057774543762,1,1,6
caltech,767,0,EfficientBFS,traditional,False,ub2,d,8.0,0.95,CalTechMaximization,419.77594400428524,7.62639316652206,109.12199521064758,1,1,6
caltech,767,0,EfficientBFS,volume_biased,False,ub2,d,8.0,0.95,CalTechMaximization,419.77594400428524,7.62639316652206,105.80666494369507,1,1,6
caltech,767,0,EfficientBFS,density_gap,False,ub2,d,9.0,0.95,CalTechMaximization,466.34941561494287,8.801822995766624,109.09934759140015,1,1,7
caltech,767,0,EfficientBFS,injection,False,ub2,d,9.0,0.95,CalTechMaximization,466.34941561494287,8.801822995766624,110.90092372894287,1,1,7
caltech,767,0,EfficientBFS,probing,False,ub2,d,9.0,0.95,CalTechMaximization,466.34941561494287,8.801822995766624,109.66601133346558,1,1,7
caltech,767,0,EfficientBFS,traditional,False,ub2,d,9.0,0.95,CalTechMaximization,466.34941561494287,8.801822995766624,108.30985164642334,1,1,7
caltech,767,0,EfficientBFS,volume_biased,False,ub2,d,9.0,0.95,CalTechMaximization,466.34941561494287,8.801822995766624,107.42238450050354,1,1,7
caltech,767,0,EfficientBFS,density_gap,False,ub2,d,10.0,0.95,CalTechMaximization,506.0819015571379,9.87015513041164,111.670490026474,1,1,8
caltech,767,0,EfficientBFS,injection,False,ub2,d,10.0,0.95,CalTechMaximization,506.0819015571379,9.87015513041164,112.05210494995117,1,1,8
caltech,767,0,EfficientBFS,probing,False,ub2,d,10.0,0.95,CalTechMaximization,506.0819015571379,9.87015513041164,110.42150568962097,1,1,8
caltech,767,0,EfficientBFS,traditional,False,ub2,d,10.0,0.95,CalTechMaximization,506.0819015571379,9.87015513041164,111.72841358184814,1,1,8
caltech,767,0,EfficientBFS,volume_biased,False,ub2,d,10.0,0.95,CalTechMaximization,506.0819015571379,9.87015513041164,110.86360478401184,1,1,8
caltech,767,0,EfficientBFS,density_gap,False,ub2,d,11.0,0.95,CalTechMaximization,540.2370492404575,10.901918913780811,111.15683579444885,1,1,9
caltech,767,0,EfficientBFS,injection,False,ub2,d,11.0,0.95,CalTechMaximization,540.2370492404575,10.901918913780811,112.29138135910034,1,1,9
caltech,767,0,EfficientBFS,probing,False,ub2,d,11.0,0.95,CalTechMaximization,540.2370492404575,10.901918913780811,111.59718728065491,1,1,9
caltech,767,0,EfficientBFS,traditional,False,ub2,d,11.0,0.95,CalTechMaximization,540.2370492404575,10.901918913780811,112.16308975219727,1,1,9
caltech,767,0,EfficientBFS,volume_biased,False,ub2,d,11.0,0.95,CalTechMaximization,540.2370492404575,10.901918913780811,111.90987181663513,1,1,9
caltech,767,0,EfficientBFS,density_gap,False,ub2,d,12.0,0.95,CalTechMaximization,555.6315072250653,11.286781568092035,250.07731246948242,3,1,9
caltech,767,0,EfficientBFS,injection,False,ub2,d,12.0,0.95,CalTechMaximization,555.6315072250653,11.286781568092035,223.83926343917847,3,1,9
caltech,767,0,EfficientBFS,probing,False,ub2,d,12.0,0.95,CalTechMaximization,555.6315072250653,11.286781568092035,362.1824905872345,3,1,9
caltech,767,0,EfficientBFS,traditional,False,ub2,d,12.0,0.95,CalTechMaximization,555.6315072250653,11.286781568092035,223.75706672668457,3,1,9
caltech,767,0,EfficientBFS,volume_biased,False,ub2,d,12.0,0.95,CalTechMaximization,555.6315072250653,11.286781568092035,279.5740876197815,3,1,9
caltech,767,0,EfficientBFS,density_gap,False,ub2,d,13.0,0.95,CalTechMaximization,602.1721671060465,12.662911520545455,113.0748507976532,1,1,10
caltech,767,0,EfficientBFS,injection,False,ub2,d,13.0,0.95,CalTechMaximization,602.1721671060465,12.662911520545455,115.50297474861145,1,1,10
caltech,767,0,EfficientBFS,probing,False,ub2,d,13.0,0.95,CalTechMaximization,602.1721671060465,12.662911520545455,113.61518549919128,1,1,10
caltech,767,0,EfficientBFS,traditional,False,ub2,d,13.0,0.95,CalTechMaximization,602.1721671060465,12.662911520545455,113.24655413627625,1,1,10
caltech,767,0,EfficientBFS,volume_biased,False,ub2,d,13.0,0.95,CalTechMaximization,602.1721671060465,12.662911520545455,112.76189017295837,1,1,10
caltech,767,0,EfficientBFS,density_gap,False,ub2,d,14.0,0.95,CalTechMaximization,636.0792034147455,13.694675303914627,117.39285039901733,1,1,11
caltech,767,0,EfficientBFS,injection,False,ub2,d,14.0,0.95,CalTechMaximization,636.0792034147455,13.694675303914627,114.78507876396179,1,1,11
caltech,767,0,EfficientBFS,probing,False,ub2,d,14.0,0.95,CalTechMaximization,636.0792034147455,13.694675303914627,115.81352639198303,1,1,11
caltech,767,0,EfficientBFS,traditional,False,ub2,d,14.0,0.95,CalTechMaximization,636.0792034147455,13.694675303914627,115.96723413467407,1,1,11
