Task,Ground_Size,Seed,Algorithm,Strategy,Heuristic,Sorting,UB,D,Budget,Alpha,Model,Objective_f(S),Cost_c(S),Time_s,Node_Count,Open_List_Count,TLE,Solution_Set_Size
facebook,1000,0,EfficientBFS,density_gap,ub2,d,,,12.0,0.95,FacebookGraphCoverage,441.0,11.596802599317733,1.9046297073364258,1,1.0,False,9
facebook,1000,0,EfficientBFS,fullbab,ub2,d,,,12.0,0.95,FacebookGraphCoverage,441.0,11.596802599317733,1.7435836791992188,1,1.0,False,9
facebook,1000,0,EfficientBFS,look_ahead,ub2,d,,,12.0,0.95,FacebookGraphCoverage,441.0,11.596802599317733,1.7861425876617432,1,1.0,False,9
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,12.0,0.95,FacebookGraphCoverage,441.0,11.596802599317733,2.139639139175415,1,1.0,False,9
facebook,1000,0,EfficientBFS,density_gap,ub2,d,,,13.0,0.95,FacebookGraphCoverage,448.0,12.12286943466912,15.310678958892822,7,1.0,False,9
facebook,1000,0,EfficientBFS,fullbab,ub2,d,,,13.0,0.95,FacebookGraphCoverage,448.0,12.12286943466912,911.9952824115753,233,1.0,False,9
facebook,1000,0,EfficientBFS,look_ahead,ub2,d,,,13.0,0.95,FacebookGraphCoverage,448.0,12.12286943466912,25.173641681671143,7,1.0,False,9
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,13.0,0.95,FacebookGraphCoverage,448.0,12.12286943466912,14.641639709472656,7,1.0,False,9
facebook,1000,0,EfficientBFS,density_gap,ub2,d,,,14.0,0.95,FacebookGraphCoverage,462.0,13.351527620372957,15.008444547653198,7,1.0,False,10
facebook,1000,0,EfficientBFS,fullbab,ub2,d,,,14.0,0.95,FacebookGraphCoverage,462.0,13.351527620372957,1426.6205079555511,360,1.0,False,10
facebook,1000,0,EfficientBFS,look_ahead,ub2,d,,,14.0,0.95,FacebookGraphCoverage,462.0,13.351527620372957,23.749835729599,7,1.0,False,10
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,14.0,0.95,FacebookGraphCoverage,462.0,13.351527620372957,12.539981365203857,7,1.0,False,10
facebook,1000,0,EfficientBFS,density_gap,ub2,d,,,15.0,0.95,FacebookGraphCoverage,478.0,14.714463277969013,52.61865472793579,21,1.0,False,10
facebook,1000,0,EfficientBFS,fullbab,ub2,d,,,15.0,0.95,FacebookGraphCoverage,478.0,14.714463277969013,2240.6432461738586,543,1.0,False,10
facebook,1000,0,EfficientBFS,look_ahead,ub2,d,,,15.0,0.95,FacebookGraphCoverage,478.0,14.714463277969013,76.50540924072266,21,1.0,False,10
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,15.0,0.95,FacebookGraphCoverage,478.0,14.714463277969013,39.72225475311279,21,1.0,False,10
facebook,1000,0,EfficientBFS,density_gap,ub2,d,,,16.0,0.95,FacebookGraphCoverage,489.0,15.738173551176818,54.004674434661865,21,1.0,False,11
facebook,1000,0,EfficientBFS,fullbab,ub2,d,,,16.0,0.95,FacebookGraphCoverage,489.0,15.738173551176818,5000.0,1115,1.0,True,11
facebook,1000,0,EfficientBFS,look_ahead,ub2,d,,,16.0,0.95,FacebookGraphCoverage,489.0,15.738173551176818,78.11147689819336,21,1.0,False,11
facebook,1000,0,EfficientBFS,traditional,ub2,d,,,16.0,0.95,FacebookGraphCoverage,489.0,15.738173551176818,41.66091990470886,21,1.0,False,11
facebook,1000,0,EfficientBFS,density_gap,ub2,d,,,17.0,0.95,FacebookGraphCoverage,495.0,16.267666269729773,63.44471979141235,23,1.0,False,11
facebook,1000,0,EfficientBFS,fullbab,ub2,d,,,17.0,0.95,FacebookGraphCoverage,495.0,16.267666269729773,5000.0,1113,1.0,True,11
facebook,1000,0,EfficientBFS,look_ahead,ub2,d,,,17.0,0.95,FacebookGraphCoverage,495.0,16.267666269729773,87.74578595161438,23,1.0,False,11
